Team_1,Team_2,Team1_Code,Team2_Code,Season,venue,id,Win_By_Wkts,Win_By_Runs,toss_winner,toss_winner_code,toss_decision,result,winner,winner_code
ISLAMABAD UNITED ,QUETTA GLADIATORS,IU,QG,2016,Dubai,1,8,0,QUETTA GLADIATORS,QG,field,normal,QUETTA GLADIATORS,QG
KARACHI KINGS,LAHORE QALANDARS,KK,LQ,2016,Dubai,2,7,0,KARACHI KINGS,KK,field,normal,KARACHI KINGS,KK
PESHAWAR ZALMI,ISLAMBAD UNITED ,PZ,IU,2016,Dubai,3,0,24,PESHAWAR ZALMI,PZ,bat,normal,PESHAWAR ZALMI,PZ
QUETTA GLADIATORS ,KARACHI KINGS,QG,KK,2016,Dubai,4,8,0,QUETTA GLADIATORS,QG,field,normal,QUETTA GLADIATORS,QG
LAHORE QALANDARS ,PESHAWAR ZALMI,LQ,PZ,2016,Dubai,5,9,0,PESHAWAR ZALMI,PZ,field,normal,PESHAWAR ZALMI,PZ
ISLAMABAD UNITED ,KARACHI KINGS,IU,KK,2016,Dubai,6,0,2,KARACHI KINGS,KK,field,normal,ISLAMABAD UNITED,IU
QUETTA GLADIATORS,PESHAWAR ZALMI,QG,PZ,2016,Dubai,7,3,0,QUETTA GLADIATORS,QG,field,normal,QUETTA GLADIATORS,QG
LAHORE QALANDARS ,QUETTA GLADIATORS,LQ,QG,2016,Dubai,8,0,63,QUETTA GLADIATORS,QG,field,normal,LAHORE QALANDARS ,LQ
ISLAMABAD UNITED,LAHORE QALANDARS,IU,LQ,2016,Dubai,9,8,0,ISLAMABAD UNITED,IU,field,normal,ISLAMABAD UNITED,IU
KARACHI KINGS,PESHAWAR ZALMI,KK,PZ,2016,Dubai,10,0,3,PESHAWAR ZALMI,PZ,bat,normal,PESHAWAR ZALMI,PZ
ISLAMABAD UNITED,QUETTA GLADIATORS,IU,QG,2016,Dubai,11,7,0,QUETTA GLADIATORS,QG,field,normal,QUETTA GLADIATORS,QG
KARACHI KINGS,LAHORE QALANDARS,KK,LQ,2016,Dubai,12,0,27,LAHORE QALANDARS,LQ,field,normal,KARACHI KINGS,KK
ISLAMABAD UNITED,PESHAWAR ZALMI,IU,PZ,2016,Dubai,13,7,0,PESHAWAR ZALMI,PZ,field,normal,PESHAWAR ZALMI,PZ
KARACHI KINGS,QUETTA GLADIATORS,KK,QG,2016,Dubai,14,5,0,KARACHI KINGS,KK,bat,normal,QUETTA GLADIATORS,QG
LAHORE QALANDARS,PESHAWAR ZALMI,LQ,PZ,2016,Dubai,15,0,4,PESHAWAR ZALMI,PZ,field,normal,LAHORE QALANDARS ,LQ
ISLAMABAD UNITED,KARACHI KINGS,IU,KK,2016,Dubai,16,5,0,ISLAMABAD UNITED,IU,field,normal,ISLAMABAD UNITED,IU
QUETTA GLADIATORS,PESHAWAR ZALMI,QG,PZ,2016,Dubai,17,8,0,QUETTA GLADIATORS,QG,bat,normal,PESHAWAR ZALMI,PZ
LAHORE QALANDARS,QUETTA GLADIATORS,LQ,QG,2016,Dubai,18,2,0,QUETTA GLADIATORS,QG,field,normal,QUETTA GLADIATORS,QG
KARACHI KINGS,PESHAWAR ZALMI,KK,PZ,2016,Dubai,19,5,0,KARACHI KINGS,KK,bat,normal,PESHAWAR ZALMI,PZ
